SrNo,Year,Blast_Day_Type,City,Latitude,Longitude,Province,Location_Sensitivity,Space_Type,Targeted_Sect,Killed,Injured,No_of_suicide_blasts,Explosive_Wt_Kg,Temperature_C,
64,2007,Working Day,Rawalpindi,33.6058,73.0437,Punjab,Low,Open,,7,,1,,27.15,
65,2007,Working Day,D.G Khan,31.8238,70.9095,KPK,Low,Open,,19,16,1,,30.82,
66,2007,Working Day,Haripur,34.0011,72.9372,KPK,High,Closed,,20,11,1,,26.98,
67,2007,Working Day,Tank,32.2260,70.3761,KPK,High,Open,,5,3,1,,24.71,
68,2007,Working Day,bannu,32.9861,70.6042,KPK,High,Open,,16,29,1,,24.57,
69,2007,Working Day,Karachi,24.9918,66.9911,Sindh,High,Open,,145,100,2,,28.03,
70,2007,Working Day,Swat,35.2227,72.4258,KPK,High,Open,,38,28,1,,21.03,
71,2007,Working Day,Rawalpindi,33.6058,73.0437,Punjab,High,Open,,8,18,1,,20.91,
72,2007,Working Day,Sargodha,32.0791,72.6718,Punjab,High,Open,,10,27,1,10,20.82,
73,2007,Holiday,Peshawar,34.0043,71.5448,KPK,Low,Closed,,4,2,1,6,19.45,
74,2007,Working Day,Rawalpindi,33.6058,73.0437,Punjab,High,Open,,38,,1,,15.56,
75,2007,Working Day,Rawalpindi,33.6058,73.0437,Punjab,High,Open,,1,2,1,,15.56,
76,2007,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,1,,1,,14.73,
77,2007,Holiday,Swat,35.2227,72.4258,KPK,High,Open,,13,,1,15,11.93,
78,2007,Working Day,Attock,33.7645,72.3667,Punjab,Low,Open,,0,7,1,,12.13,
79,2007,Working Day,Quetta,30.2095,67.0182,Balochistan,High,Open,,12,22,2,,4.16,
80,2007,Working Day,Nowshehra,34.0322,73.0944,KPK,High,Open,,6,11,1,,9.52,
81,2007,Working Day,Kohat,33.5833,71.4333,KPK,High,Open,,12,2,1,6,11.35,
82,2007,Holiday,Charsadda,34.1509,71.7359,KPK,Medium,Closed,Sunni,60,,1,6,15.00,
83,2007,Holiday,Swat,35.2227,72.4258,KPK,High,Open,,14,,1,,12.76,
84,2007,Working Day,Rawalpindi,33.6058,73.0437,Punjab,Low,Open,,30,48,1,,10.21,
85,2008,Working Day,Swat,35.2227,72.4258,KPK,High,Open,,,12,1,,6.77,
86,2008,Working Day,Lahore,31.5451,74.3407,Punjab,High,Open,,26,73,1,15,13.89,
87,2008,Working Day,Mohmand agency ,32.9746,70.1456,FATA,High,Open,,1,,1,,5.15,
88,2008,Working Day,Peshawar,34.0043,71.5448,KPK,Medium,Closed,shiite,12,,1,3,12.34,
89,2008,Working Day,North Waziristan,32.9746,70.1456,FATA,High,Open,,7,13,1,,2.48,
90,2008,Working Day,Rawalpindi,33.6058,73.0437,Punjab,High,Open,,10,27,1,7,8.42,
91,2008,Working Day,Quetta,30.2095,67.0182,Balochistan,Low,Open,,1,,1,,-2.37,
92,2008,Working Day,Charsadda,34.1509,71.7359,KPK,Low,Closed,,27,35,1,,7.94,
93,2008,Working Day,North Waziristan,32.9746,70.1456,FATA,Low,Open,,10,9,1,,2.25,
94,2008,Working Day,Swat,35.2227,72.4258,KPK,High,Closed,,3,14,1,,12.73,
95,2008,Working Day,Kuram Agency ,35.2227,72.4258,FATA,High,Closed,,47,109,1,,12.73,
96,2008,Working Day,Rawalpindi,33.6058,73.0437,Punjab,High,Closed,,8,20,1,5,14.47,
97,2008,Working Day,Swat,32.9350,70.6688,KPK,Low,Open,,45,40,1,,19.85,
98,2008,Working Day,Bajaur Agency,34.8718,71.5249,FATA,High,Open,,2,,1,,19.38,
99,2008,Holiday,Dara Adam Khel,33.6854,71.5131,KPK,Low,Open,,43,50,1,,19.46,
100,2008,Working Day,Lahore,31.5451,74.3407,Punjab,High,Closed,,8,15,2,,20.66,
101,2008,Working Day,Lahore,31.5451,74.3407,Punjab,High,Closed,,31,175,1,50,21.30,
102,2008,Working Day,Lahore,31.5451,74.3407,Punjab,Low,Closed,,6,,1,30,21.30,
103,2008,Working Day,Swat,35.2227,72.4258,KPK,High,Closed,,3,5,1,,22.50,
104,2008,Holiday,South Waziristan,32.3202,69.8597,FATA,High,Closed,,5,9,1,,18.66,
105,2008,Holiday,Khyber Agency,34.0211,71.2874,FATA,Medium,Closed,Sunni,2,17,1,,28.99,
106,2008,Working Day,Bannu,32.9350,70.6688,KPK,High,Open,,7,10,1,,28.62,
107,2008,Working Day,Swat,35.2227,72.4258,KPK,High,Closed,,1,3,1,,23.99,
108,2008,Holiday,Mardan,34.1982,72.0444,KPK,High,Closed,,13,23,1,,29.61,
109,2008,Working Day,Islamabad,33.7180,73.0718,Capital,High,Closed,Jews,8,25,1,50,26.50,
110,2008,Holiday,Islamabad,33.7180,73.0718,Capital,Low,Open,,20,20,1,5,26.86,
111,2008,Holiday,D.G Khan,31.8238,70.9095,KPK,Medium,Closed,Shiite,1,3,1,,31.08,
112,2008,Working Day,Lahore,31.5451,74.3407,Punjab,High,Open,,9,20,1,,25.84,
113,2008,Working Day,D.G Khan,31.8238,70.9095,KPK,Low,Closed,Shiite,32,33,1,,31.50,
